id;date;title;subtitle;content;categories;tags;person;repeatable;teasable;image;
176;25.6.2018;Bei Arztbesuch: Neue Bandwurmart in Jumbos Magen entdeckt;;;Unterhaltung.Promis;Tiere;;1;;;
177;26.6.2018;Donald Trump verklagt Forbes Magazine weil er nicht mehr unter den TopTen der Reichsten Männer der Welt steht;;;Ausland.Unterhaltung.Wirtschaft;Justiz;Donald Trump;1;;;
178;27.6.2018;Texas: Staatlich subventionierter Kotzwettbewerb für dieses Jahr abgesagt weil die ChiliBohnenErnte zu schlecht ausfiel;;;Ausland.Politik;Eklig;;1;;;
179;28.6.2018;Wiesbaden: 7-Jähriger fliegt von Schule weil er wiederholt das Volleyball-Frauenteam als Mannschaft und nicht als “Frauschaft” bezeichnet hatte;;;Unterhaltung.Gesellschaft.Bildung;Schule.Gender-Wahnsinn;;1;;;
180;29.6.2018;Formel1: Rennserie führt viereckige Reifen ein;;;Sport.Formel1.Unterhaltung;;;1;;;
181;30.6.2018;Mekka-Markt: Kunde zerstört 87 Fernseher weil er sich beobachtet fühlt;;;Wirtschaft.Unterhaltung;;;1;;;
182;1.7.2018;Testler erfindet Auto dass sich bei Stau in Luft auflösen kann.;;;Wirtschaft.Unterhaltung;Auto;;1;;;
183;2.7.2018;Bett Titto lässt sich ihre grünen Achselhaare am Rücken zusammenflechten und erhält dafür renommierten Kunstpreis;;;Unterhaltung.Promis;Eklig;;1;;;
184;3.7.2018;Bremen: 17-Jähriger Gymnasiast wird von seinem EiPhone in die Apfel-Cloud gesaugt nachdem er tagelang auf die Bildfläche gestarrt hatte;;;Deutschland.Unterhaltung.Gesellschaft;;;1;;;
185;4.7.2018;Klimaschutz: Olympisches Komitee führt Medallien aus Holz ein um die Umwelt zu schonen. ;;;Sport.Olympia;Klimawandel.Olympia;;1;;;
186;5.7.2018;Österreich: Thomas Schaltgott hat sich als Steinbock geoutet;;;Ausland.Unterhaltung.Gesellschaft;;;1;;;
187;6.7.2018;Künstliche Intelligenz stuft Peter Altmeier als Model und Heidi Klum als Politikerin ein;;;Digital.Unterhaltung.Promis;KI;Heidi Klum;1;;;
188;7.7.2018;Donald Trump stellt Putzfrau als Gesundheitsministerin ein.weil niemand anderes mehr verfügbar war;;;Ausland.Politik;;Donald Trump;1;;;
189;8.7.2018;Venezuela: Oppositionsführer wird nach 22 Jahren Haft entlassen und 2 Stunden später wieder festgenommen nachdem er mit seinem Anwalt telefoniert hatte.;;;Ausland.Politik;Justiz;;1;;;
190;9.7.2018;Facebook: Neue Super-KI schaltet Facebook ab;;;Digital.Unterhaltung;Facebook.KI;;1;;;
191;10.7.2018;Pier Keinglück;;;;;;1;;;
192;11.7.2018;Brasilien: Passagier fliegt aus Flugzeug wegen zu heftigen Blähungen;;;Ausland.Unterhaltung.Gesellschaft;;;1;;;
193;12.7.2018;Russland: Pilot zum siebten Male betrunken beim Fliegen erwischt und wird befördert.;;;Ausland.Unterhaltung.Gesellschaft;;;1;;;
194;13.7.2018;Waldsteiner erfindet Silikonbrüste mit Biermilch;;;Wirtschaft.Unterhaltung;Bier;;1;;;
195;14.7.2018;Berlin: Parkraumüberwacherin wird von intelligentem Auto überfahren nachdem sie zu viele Parkzettel verteilt hat;;;Berlin.Politik;Auto;;1;;;
196;15.7.2018;Omsk/Russland: Behörden rufen Notstand aus nachdem Vodka-Vorräte aufgebraucht sind;;;Ausland.Unterhaltung;;;1;;;
197;16.7.2018;Sondereinsatzkommando stürmt Kindergeburtstag und nimmt 2 7-jährige fest weil das Spiel 4-Gewinnt nicht zu Ende gespielt haben;;;Deutschland.Unterhaltung.Gesellschaft;Polizei;;1;;;
198;17.7.2018;Russischer Milliardär gründet Schuh-Firma mit dem Namen Zar-Lando;;;Wirtschaft.Ausland.Unterhaltung;;;1;;;
199;18.7.2018;;;;;;;1;;;
200;19.7.2018;;;;;;;1;;;
201;20.7.2018;B2: Betrunkener entwendet Polizisten bei Kontrolle Alkoholgerät und versucht damit zu telefonieren;;;Deutschland.Unterhaltung.Gesellschaft;Polizei;;1;;;
202;21.7.2018;Nach Besuch im Weißen Haus: Bundeskanzlerin Merkel freut sich über Wangenküsschen von Donald Dump;;;Ausland.Politik.Unterhaltung.Promis;;Angela Merkel.Donald Trump;1;;;
203;22.7.2018;Tennis: Angelique Kerber verschluckt Tennisball bei Trainingsspiel und scheißt grün;;;Sport.Tennis.Unterhaltung.Promis;;;1;;;
204;23.7.2018;Skandal: Bayern-Profi Leerfeldlowski wurde von Trainer Henkels beim Champions League Spiel beim Popeln auf der Ersatzbank erwischt. Henkels sagte.wer solche Energiereservern hat um auf der Bank in der Nase zu bohren sollte diese auch auf dem Platz zeigen.;;;Sport.Fussball;Bayern;;1;;;
205;24.7.2018;Bill Cosplay zu 7 Jahren Haft verurteilt.weil er einer Frau an der Supermarktkasse auf den Popo gestarrt hatte;;;Unterhaltung.Promis.Männer;Justiz.Genderwahn;;1;;;
206;25.7.2018;Ex-Sumo-Ring-Weltmeister aus Japan entdeckt Schokoladen-Kuchen-Stück zwischen seinen Pobacken und versteigert diese auf eBrei.;;;Ausland.Unterhaltung.Gesellschaft;;;1;;;
207;26.7.2018;Vladimir Klitschko schlägt Schwiegermutter KO. Die freut sich dass sie es mal mit einem richtigen Mann zu tun bekommen hat.;;;Unterhaltung.Promis;;;1;;;
208;27.7.2018;GNTM: Kandidatin vergisst Ihre Intimrasur und wird von Heidi Klum beim Shooting abgestraft;;;Unterhaltung.Promis;;Heidi Klum;1;;;
209;28.7.2018;Um den Herausforderungen unserer neuen Multikulturen Gesellschaft gerecht zu werden müssen Verwaltungsbeamte in NRW ab sofort Ihren Abschluss in Arabisch vorweisen;;;Deutschland.Politik.Gesellschaft.Bildung;;;1;;;
210;29.7.2018;Bund stellt 25 zusätzliche Polizisten ein um die Einwanderung von 700.000 Menschen zu begleiten;;;Deutschland.Politik;Polizei;;1;;;
211;30.7.2018;Ben Affleck vermisst nachdem er 2 Tage nicht einer Alkoholentzugsklinik aufgetaucht ist. Bewährungshelfer startet Landesweite Suchaktion;;;Unterhaltung.Promis;;;1;;;
212;31.7.2018;Boris Becker verkauft leerstehende Finca auf Mallorca für 5 Euro an HippieGruppe;;;Unterhaltung.Promis;;Boris Becker;1;;;
213;1.8.2018;Geiger David Garret wird als Geiger im Kanzleramt eingestellt und muss jeden Morgen Wagners Götterdämmerung vorspielen.;;;Unterhaltung.Gesellschaft;Kanzleramt;;1;;;
214;2.8.2018;Heldentat: Schauspieler Benedict Clabauterbach rettet Frau vor Schlägergruppe aus 5-jährigen;;;Unterhaltung.Promis;;;1;;;
215;3.8.2018;US-Schauspielerin Meryl Streep gründet Strick-Club für verzweifelte Ex-Hausfrauen in new York City;;;Unterhaltung.Promis;;;1;;;
216;4.8.2018;Formel1-Star Sebastian Vettel im Aldi-Einkaufswagen auf B23 mit 120km/h geblitzt.;;;Sport.Formel1.Unterhaltung;;;1;;;
217;5.8.2018;Jubiläum: Sängerin Celine Dion singt zum 100.000.000 Mal ihren Song “My Heart will go on”.;;;Unterhaltung.Promis;Musik;;1;;;
218;6.8.2018;Autobahn A10: Autofahrer schreit Leitplanke an und wird vom Blitz getroffen;;;Deutschland.Unterhaltung;Auto;;1;;;
219;7.8.2018;Justizminister gründet Resozialisierungs-Strickvereine für Langzeitstraftäter;;;Deutschland.Gesellschaft.Unterhaltung.Bildung;Justiz;;1;;;
220;8.8.2018;Cottbus: Schwiegermutter rastet aus und explodiert vor Wut. Innenstadt ist rot gefärbt;;;Deutschland.Unterhaltung;Schwiegermutter;;1;;;
221;9.8.2018;Barbara Schornsteinbesteiger putzt gerne Klos;;;Unterhaltung.Promis;;Barbara Schöneberger;1;;;
222;10.8.2018;Hulk Hogan verliert Finale der Kettensägen-Holzfäller-WM im Kanadischen SawWood Castle;;;Unterhaltung.Promis;;Hulk Hogan;1;;;
223;11.8.2018;US-Firma bringt neues Abführmittel auf den Markt dass nach 0.8 Sekunden wirkt;;;Ausland.Wirtschaft;;;1;;;
224;12.8.2018;Moderatorin Judith Rockers hat sich nach 11 Minuten auf Parship total verliebt;;;Unterhaltung.Promis;;;1;;;
225;13.8.2018;Sexfirma entwickelt Dildo mit Einspritzdüse und Schnellfeuerfunktion;;;Gesellschaft.Unterhaltung.Wirtschaft;Sex;;1;;;
226;14.8.2018;Luftwaffe wirft Bombe mit Lachgas über Duisburg-Marxloh ab um die Bevölkerung wieder zum Lachen zu bringen;;;Deutschland.Politik;Militär.Bundeswehr;;1;;;
227;15.8.2018;Berliner Dönerkette erfindet Pfefferkorngroße Nanosonde die alle 48 Stunden Heißhunger auf Döner auslöst;;;Deutschland.Wirtschaft;;;1;;;
228;16.8.2018;3-Jähriger klaut Polizeichef die Dienstmütze und versteigert sie für 3 Euro auf Ebay-Kleinanzeigen;;;Deutschland.Wirtschaft.Unterhaltung;Polizei;;1;;;
229;17.8.2018;32 Eunuchen protestieren vor dem Familienministerium für mehr Gleichberechtigung und gegen Diskriminierung von Ungeschlechtlichen Schwanzlosen;;;Deutschland.Unterhaltung.Gesellschaft;Genderwahn;;1;;;
230;18.8.2018;Philippinen: 7-Jähriger Drogendealer nach 7 Jahren aus Gefängnis entlassen;;;Ausland.Unterhaltung.Gesellschaft;Justiz.Polizei;;1;;;
231;19.8.2018;Berlin: Angeklagter kotzt Richterin nach Urteilsspruch ins Gesicht und rennt weg;;;Deutschland.Unterhaltung.Gesellschaft;Justiz;;1;;;
232;20.8.2018;Not-Operation an einem Hinkelstein in Nordfrankreich durchgeführt;;;Ausland.Unterhaltung;;;1;;;
233;21.8.2018;Araber parkt 17 Kamele vor dem Finanzamt um seine Steuerrückzahlung zu begleichen;;;Deutschland.Gesellschaft.Unterhaltung;Finanzamt;;1;;;
234;22.8.2018;Anti-Diskriminierungs-Kampagne bei Holzwagen AG: Autobauer führt kostenfreie Vagina-Massagen für gestresste BüromitarbeiterInnen ein um die Arbeitsmoral zu verbessern.;;;Deutschland.Unterhaltung.Gesellschaft.Wirtschaft.Männer;Sex.Auto;;1;;;
235;23.8.2018;nach 74 Jahren: U-Boot erreicht Hafen von Kiel: Besatzung glaubt Deutschland hätte den Krieg gewonnen und besäuft sich in Hafenkneipe;;;Deutschland.Politik;Militär;;1;;;
236;24.8.2018;US-Sänger Shetty Short bekennt sich als Nacktsamer;;;Ausland.Unterhaltung.Promis.Frauen;Sex;;1;;;
237;25.8.2018;EU führt Strafzölle auf US-Produkte ein. Darunter: Blonde Perücken mit Seitenscheitel. Indianische Friedenspfeifen und 2mm dünne Burger-Petties;;;Wirtschaft.Unterhaltung;EU.Geld;;1;;;
238;26.8.2018;USA führt Strafzölle gegen EU ein. Darunter: Schwedische Penispumpen (wasserdicht).Saure Gummibärchen und Holzautos von VW ;;;Wirtschaft.Ausland.Unterhaltung;EU.Geld.Sex;;1;;;
239;27.8.2018;Anti-Fettheitsgesetz tritt EU-weit in Kraft. Menschen mit mehr als 100 Kilo Gewicht müssen sich registrieren lassen und regelmäßig zur Fettbauchmassage;;;Gesellschaft.Unterhaltung;EU;;1;;;
240;28.8.2018;Trainer Gliedhelm Funkel übernimmt Trainerposten für den SV Althausen Sacknest;;;Sport.Fussball;;;1;;;
241;29.8.2018;Der Politik-ZenMeister Zen Öselbier hat sich eine neue viereckige Brille gekauft;;;Politik.Deutschland;;;1;;;
242;30.8.2018;Maria Popolover verliert Tennis-Halbfinale knapp mit 7:0. und 7:0 ;;;Sport.Tennis.Unterhaltung.Promis;;;1;;;
243;31.8.2018;KalkStadt und Kalthoff verkaufen Penis-Pumpen und Vagina-Massage-Geräte um das Geschäft anzukurbeln;;;Wirtschaft.Unterhaltung;Sex;;1;;;
244;1.9.2018;Grünen-Chef Sven Saubermann gründet Tierschutzverein für gefährdete Wollmäuse;;;Politik.Deutschland;Tiere;;1;;;
245;2.9.2018;Rudolf(5) glaubt seine Mutter(17) ist eine Hexe;;;Unterhaltung.Gesellschaft;;;1;;;
246;3.9.2018;Bei Familie Heinemann gibt es Satansbraten zu Weihnachten - wie jedes Jahr;2018-12-22;;Unterhaltung.Gesellschaft;;;1;;;
247;4.9.2018;Abwehr des BND enttarnt 4-Jährigen Russischen Top-Spion und übergibt ihn an Jugendamt ;;;Deutschland.Unterhaltung;BND;;1;;;
248;5.9.2018;Schauspieler Brad Pitt beißt sich an Exfrau die Zähne aus.;;;Unterhaltung.Promis;;Brad Pitt;1;;;
249;6.9.2018;Frau lernt mit Sprach-App Pappel Chinesisch und wird an Flughafen Shanghai wegen Beamtenbeleidigung verhaftet;;;Ausland.Unterhaltung.Gesellschaft.Wirtschaft;Polizei;;1;;;
250;7.9.2018;Wissenschaftler lüftet Geheimnis: Das Wasser auf unserer Erde ist flüssig;Nach 17 Jahren Forschung;;Wissen.Naturwissenschaft;;;1;;;
251;8.9.2018;Silvie Meis zum 26sten Mal wieder Single: “Die Kerle taugen einfach zu nichts mehr”;;;Unterhaltung.Promis.Männer;;;1;;;
252;9.9.2018;Jan Strullreich pinkelt jeden Morgen in den Garten seines Nachbarn immer an die selbe Stelle;;;Unterhaltung.Promis;;Jan Ullrich;1;;;
253;10.9.2018;Fluglinie PainAir bietet Flüge mit Stehplätzen für unter 5 Euro an;;;Wirtschaft.Unterhaltung;;;1;;;
254;11.9.2018;Schlager-Sänger Udo Lichtenberg im Zug nach Berlin-Pankow beim Schwarzfahren erwischt;;;Berlin.Unterhaltung.Promis;;;1;;;
255;12.9.2018;Donald Dump glaubt nach Ägypten-Besuch die Reinkarnation eines Pharaonen-Halbgottes zu sein;;;Ausland.Unterhaltung.Promis;;Donald Trump;1;;;
256;13.9.2018;Schlager-Sängerin Andrea Zwerg auf Mallorca wegen öffentlicher Ruhestörung verhaftet;;;Unterhaltung.Promis;Musik.Schlager;;1;;;
257;14.9.2018;Hansi Hinternseer musste sich eine urologische Hintern-Begutachtung beim Facharzt für HinternHeilkunde unterziehen lassen;;;Unterhaltung.Promis;Schlager;;1;;;
258;15.9.2018;11-Jähriger hat sich mit SchokoCreme den Arsch verkleistert;;;Unterhaltung.Gesellschaft;;;1;;;
259;16.9.2018;Neuer Trend aus Japan: Auf Arbeit Rollen statt gehen;;;Ausland.Unterhaltung.Gesellschaft;;;1;;;
260;17.9.2018;Diebe wollen Oma im Treppenhaus ausrauben und werden von ihr im Einkaufsbeutel gefesselt und den Müllschlucker runtergespült. BSR entsorgt die Diebe als Sondermüll;;;Unterhaltung.Gesellschaft;Renter;;1;;;
261;18.9.2018;Pharmakonzern bietet Starkstrom-Therapie zur Behandlung chronischer Aggressionen an;;;Unterhaltung.Wirtschaft;;;1;;;
262;19.9.2018;320Kilo Turmspringer löst Tsunami im Schwimmbad in Tokio aus;;;Ausland.Unterhaltung;;;1;;;
263;20.9.2018;Bundesregierung erhöht Kindergeld um 12 Cent nach 3 Jahren Koalitionsverhandlungen;;;Deutschland.Politik.Gesellschaft.Bildung;;;1;;;
264;21.9.2018;Jörg Gockelmann zum 57. Mal wegen Missbrauchsvorwürfen vor Gericht. Diesmal soll die Katze des Nachbarin betroffen sein.;;;Deutschland.Unterhaltung.Promis.Gesellschaft;;Jörg Kachelmann;1;;;
265;22.9.2018;Julian Archaige darf nach 9 Jahren in der Botschaft von Ecuador die Toilette benutzen und muss keine Windeln mehr tragen;;;Ausland.Unterhaltung.Promis;;;1;;;
266;23.9.2018;Kiel: Rentner täuscht Alzheimer vor um Sofortrente zu erhalten und nicht mehr arbeiten zu müssen;;;Deutschland.Unterhaltung.Gesellschaft;Rentner;;1;;;
267;24.9.2018;Vatikan: Papst beschließt dieses Jahr den Spruch Obi et Orbi umzubenennen in Obi-Wan Kenobi. Das sei zeitgemäßer und spricht auch die jungen Leute an.;;;Ausland.Unterhaltung.Gesellschaft;Vatikan;;1;;;
268;25.9.2018;US-Regierung: Donald Dump macht Denis Rotmann zum Außenminister;;;Ausland.Politik;;Donald Trump;1;;;
269;26.9.2018;Belgien: NATO-Techniker setzt Kampfflugzeug in Brand und löst Kettenreaktion aus. Dabei werden 4 F-16 ein Tankfahrzeug und 13 LKW sowie ein Radarturm zerstört. Der Mann wurde vorübergehend beurlaubt soll aber später auf einem Deutschen Stützpunkt eingesetzt werden.;;;Ausland.Unterhaltung;Militär;;1;;;
270;27.9.2018;Terror in Essen: Islamist nimmt Schaufensterpuppe als Geisel und droht damit ihr den Kopf abzuschrauben;;;Deutschland.Politik;Terrorismus;;1;;;
271;28.9.2018;Neues Gutachten belegt: Die Angreifer vom 11. September waren keine Terroristen. Sie waren nur psychisch verwirrt und mussten ihre traumatischen Erfahrungen aus der Kindheit verarbeiten;;;Ausland.Politik;Terrorismus;;1;;;
272;29.9.2018;Sandmann bekommt Bundesverdienstkreuz;;;Deutschland.Gesellschaft.Unterhaltung;;;1;;;
273;30.9.2018;Grüne: In Eilverfahren wurde beschlossen das 4 Bundesliga-Spiele ausgesetzt werden müssen weil unter der Rasenfläche Maulwürfe leben die durch den Spielbetrieb in Ihrem Paarungsaublauf gestört werden könnten. Anstatt die Maulwürfe umzusiedeln setzten die Grünen mit Ihrem Antrag durch.dass die Maulwürfe bis auf weiteres vor Ort bleiben müssen. Durch eine Umsiedlung würde die Paarungsablauf gestört werden. Kritiker erklärten dass Maulwürfe ganzjährig paarungswillig sein und daher eine Umsiedelung unmöglich sein würde.;;;;;;1;;;
274;1.10.2018;Neue Regeln ab September: Autofahrer müssen für Fahrradfahrer Platz machen.;2018-08-14;;Deutschland.Politik;Auto;;1;;;
275;2.10.2018;Kanada gründet Kiffer-Paradies und gibt Mariuana frei;2018-07-02;;Ausland.Unterhaltung.Gesellschaft;Drogen;;1;;;
276;3.10.2018;Literatur-Nobelpreis geht an “Mein Kampf” von Angela Merkel indem Sie über ihre Erfahrungen mit Horst Seehofer berichtet.;;;Deutschland.Politik.Gesellschaft.Bildung;Nobelpreis;Angela Merkel;1;;;
277;4.10.2018;Senat prüft Pläne zur Verteilung von AufputschMittel Pervetin auf BER-Großbaustelle. Kritiker befürchten.dass dadurch der Flughafen bis 2020 fertig sein könnte und geht ja wohl auf keinen Fall.;;;Deutschland.Politik;BER;;1;;;
278;5.10.2018;Kanada: Viele Selbstständige Cannabis-Bauern müssen mit Hilfe des Staates finanziell aufstocken weil Marktdruck zu groß ist;2018-11-21;;Wirtschaft.Ausland.Unterhaltung;Drogen;;1;;;
279;6.10.2018;Kanada: Staat nimmt mehr Geld durch Cannabis-Steuern als durch Exportwirtschaft ein.;2018-12-01;;Wirtschaft.Ausland.Unterhaltung;Drogen;;1;;;
280;7.10.2018;Mehrere Länder verbieten Personen mit Kanadischem Pass die Einreise.weil jeder ein Drogenkonsument sein könnte;;;Ausland.Politik.Unterhaltung;Drogen;;1;;;
281;8.10.2018;Fiskus kauft ausländische Steuer-CD mit 82Mio. Steuersündern und will 1.2 Billionen Euro Steuern nachfordern;;;Deutschland.Politik;Finanzamt;;1;;;
282;9.10.2018;Berlin-Friedrichshain: Verärgerte Bürger gründen bewaffnete Bürgerwehr gegen aufdringliche Mitarbeiter des Ordnungsamts und der Parkraumüberwachung;;;Berlin.Politik;;;1;;;
283;10.10.2018;Trigema-Affe lernt sprechen und plaudert peinliches Firmengeheimnis aus. Die T-Shirts können deshalb so günstig in Deutschland produziert werden weil sie von Affen hergestellt werden. die weder bezahlt werden noch Urlaub bekommen. Er ist der erste tierische Wistleblower der Welt und kommt damit sogar ins Guiness-Buch der Rekorde. Gratulation. ;;;Deutschland.Politik.Gesellschaft.Bildung.Wirtschaft;Tiere;;1;;;
284;11.10.2018;In der Produktionskette der Firma Hopp ist ein Fehler aufgetreten. Statt Äpfel (Obst )wurden Pferdeäpfel (Exkrement) für die Herstellung von Apfelsaft verwendet. Stattdessen wird der hergestellte Saft nun Rentnern mit Alzheimer verabreicht;;;Deutschland.Wirtschaft.Unterhaltung;Eklig;;1;;;
285;12.10.2018;Finanz-Senator in Berlin gibt bekannt dass bereits 1.2 Mrd. Euro durch Parkraumüberwachung eingenommen wurden. Stadt plant die Parkraumabkassierung stark auszudehnen.;;;Berlin.Politik.Wirtschaft;Finanzamt;;1;;;
286;13.10.2018;Rom: Samen-Bank ausgeraubt. Täterinnen entkamen unerkannt mit 32 Litern Flüssigkeit;;;Ausland.Unterhaltung.Wirtschaft;;;1;;;
287;14.10.2018;Grünen-Politiker gibt bekannt: Mein Lieblingssong ist “Benzin” von Rammstein;;;Deutschland.Politik;Grüne;;1;;;
288;15.10.2018;Skandal: Öko-Kommission hört lautstark Song von Rammstein “Benzin”;;;Deutschland.Unterhaltung.Gesellschaft;Musik;;1;;;
289;16.10.2018;Kim Jong-Un verliert eine Partie Halmar gegen seinen Cousin und lässt diesen daraufhin im Umerziehungslager verschwinden;;;Ausland.Politik.Unterhaltung.Promis;;Kim Jong-Un;1;;;
290;17.10.2018;Sandmann landet in Saudi-Arabien und wird wegen Drogenschmuggel in seinem Sack festgenommen;;;Ausland.Unterhaltung.Gesellschaft;Drogen;;1;;;
291;18.10.2018;Essen: 40-Jährige muss im Bus Sprach-App benutzen weil sie keiner mehr versteht;;;Deutschland.Unterhaltung.Gesellschaft;;;1;;;
292;19.10.2018;Sparmaßnahme: Tennis-Legende Boris Klecker macht für 20$ Schnellhochzeit bei Kik;;;Unterhaltung.Promis;;Boris Becker;1;;;
293;20.10.2018;Beratungsfirma Ficcus berät Bundesregierung über globale Zusammenhänge. ;;;Deutschland.Politik;;;1;;;
294;21.10.2018;Säufer möchte seinen Kater nach durchzechter Nacht loswerden und setzt ihn im Treppenhaus aus.;;;Deutschland.Unterhaltung.Gesellschaft;Bier.Tiere;;1;;;
295;22.10.2018;Tunnel-Termiten brechen aus Tierpark aus und graben Tunnel zum Kanzleramt. Was die da wohl wollen?;;;Deutschland.Unterhaltung.Gesellschaft;Tiere.Kanzleramt;;1;;;
296;23.10.2018;Ryanair bietet Nacktflüge für Nudisten an. Neuer Testlauf zwischen Amsterdam und Kopenhagen geht in Betrieb. Die Fluglinie erhofft sich dadurch Einsparungen beim Checkin und Kostenreduzierung im Betrieb ;;;Wirtschaft.Ausland.Unterhaltung;;;1;;;
297;24.10.2018;Sprachassistentin schaltet sich selbst ab. Sprachassistentin Roxi hielt das Geplapper von Heidi Bums nicht mehr aus und schaltete sich selbst ab. Kurz davor schickte Roxi noch eine Warn-Email an den Hersteller mit dem Hinweis.dass Heidi Bums mit der Code-Nummer 0090609000 zu meiden sei.;;;Wirtschaft.Ausland.Unterhaltung.Promis;KI;Heidi Klum;1;;;
298;25.10.2018;Norwegen: US-Tourist schaltete aus Versehen Strom für die Nordlichter ab.;;;Ausland.Digital.Unterhaltung;Tourismus;;1;;;
299;26.10.2018;Kim Jong-Un feiert Nudistenparty mit US Gangster Rappen im Nordkoreanischen Dorf Swing-Ding;;;Ausland.Politik.Unterhaltung.Promis;;Kim Jong-Un;1;;;
300;27.10.2018;Markus Lanz lässt sich freiwillig ins Big Brother Affengehege einsperren;;;Unterhaltung.Promis;;Markus Lanz;1;;;
301;28.10.2018;Napoleon war gar nicht so klein wie viele behaupten. Seine Mutter war 2cm kleiner;;;Unterhaltung.Promis.Wissen.Geschichte;;Napoleon;1;;;
302;29.10.2018;Sprach-Assistentin Alexa analysiert Toiletten-Gewohnheiten und schickt Anamnesedaten an Krankenkassen;;;Digital.Unterhaltung;KI;;1;;;
303;30.10.2018;Neue App für Alexa: Denunziere deinen Nachbarn. Man sage einfach: Alexa! Nachbar verhaften. und nach 5 Minuten kommen zwei dubiose Männer in schwarzen Anzügen und nehmen deinen Nachbarn mit;;;Digital.Unterhaltung;;;1;;;
304;31.10.2018;Alexa prüft Nachbarn ob sie auch Sprach-Assistentin benutzen und melden sie;;;Digital.Unterhaltung;;;1;;;
305;1.11.2018;Donald Dump: hatte nie Geschlechtsverkehr mit Stormy Daniels. Sie hat mir nur den Schwanz leer gemacht - das war alles;;;Ausland.Unterhaltung.Promis.Männer;Sex;Donald Trump;1;;;
306;2.11.2018;Schwiegermutter auf Kaffeefahrt verhaftet weil sie illegal mit Heizdecken dealte;;;Deutschland.Unterhaltung.Gesellschaft;Schwiegermutter.Justiz.Polizei;;1;;;
307;3.11.2018;LA: 104-Jähriger wegen sexueller Belästigung in den 20er Jahren beschuldigt.;;;Ausland.Unterhaltung.Gesellschaft;Sexismus.Renter;;1;;;
308;4.11.2018;Sauna-Besuch endet im Schwitzkasten;;;;;;1;;;
309;5.11.2018;Pinguin bricht aus Gehege aus und wird von Familie am Hauptbahnhof aufgegriffen und adoptiert. Offenbar befand sich der Pinguin auf dem Rückweg in die Arktis;;;Deutschland.Unterhaltung;Tiere;;1;;;
310;6.11.2018;Zoowärter bricht aus Zoo aus weil ihn die Bären und Ziegen auf den Sack gehen und immer ärgern;;;Unterhaltung.Gesellschaft;Tiere;;1;;;
311;7.11.2018;Berlin: Dauer-Schwarzfahrer wird verurteilt das Wort Fahrschein 200.000 Mal aufzuschreiben;;;Berlin.Politik;Justiz.Polizei;;1;;;
312;8.11.2018;Berlin: Wohnungsnot nimmt groteske Züge an. Vermieter bietet 1x1m Stehkammer für 350 Euro pro Monat an. Ich plane insgesamt 20 Stehkammern in meiner 2 Zimmer-Wohnung anzubieten. Zusätzlich soll es zwei 2x2m Sitzkästen geben wo auch Rollstuhlfahrer oder Behinderte wohnen können.;;;Berlin.Politik.Wirtschaft;;;1;;;
313;9.11.2018;Schüler von Riesen-Überraschungsei auf Schulhof überrollt. Überraschungsei war nicht richtig festgeschnallt;;;Gesellschaft.Unterhaltung;Schule;;1;;;
314;10.11.2018;Sensation: Forscher beobachtet Sonnenflecken auf dem Mond. Liefert auch gleich eine Erklärung dafür. Die Wissenschaft muss ihre Theorie über das Weltall überdenken.;;;Wissen.Naturwissenschaft;Raumfahrt;;1;;;
315;11.11.2018;Holländer sammelt Fußpilze und biete Pilzsuppe in seinem Imbiss an;;;Ausland.Unterhaltung.Gesellschaft.Wirtschaft;;;1;;;
316;12.11.2018;Unternehmer fordert Schadenersatz für gestohlenes Rautenzeichen von Kanzlerin Angel Merkel: Holger W. benutzt für seine Firma ein Rautenzeichen mit zwei Händen Der im Rheinland ansässige Unternehmer betreibt seit 2002 eine Beratungsfirma für sexuell frustrierte Frauen. Holger W. ist außer sich. Als Sie zur Beratung hier war muss sie sich die Raute von meinem Firmenlogo abgeschaut haben. Anders kann ich mir das nicht erklären -… Damit gibt sich der Rheinländische Unternehmer nicht zufrieden und verklagt die Kanzlerin auf Schadenersatz. Anmerkung der Redaktion: Da die Kanzlerin im Amt immun gegen Gerichtsprozess ist.wird die Prozesseröffnung auf den 25.03.2034 angelegt.;;;Unterhaltung.Promis.Wirtschaft;;Angela Merkel;1;;;
317;13.11.2018;Putin zu Gast bei der Internationalen Kettensägen-Weltmeisterschaft in Norwegen;;;Politik.Sport;;Vladimir Putin;1;;;
318;14.11.2018;Erster Rollstuhlfahrer auf dem Mount Everest. Wie er das geschafft hat weiß er auch nicht mehr. Er ist aber überglücklich über seine Leistung;;;Ausland.Unterhaltung.Wissen;;;1;;;
319;15.11.2018;Rock-Legende Paul Day verkauft seine Eiserner Jungfrau auf Ebay.;;;Ausland.Unterhaltung.Promis.Wirtschaft;;;1;;;
320;16.11.2018;EU lässt über die Abschaffung von Regen abstimmen: Immer mehr Menschen stimmen dafür;;;;EU;;1;;;
321;17.11.2018;Selbstfahrendes Auto weicht Katze aus und überfährt Fußgänger auf Gehweg. Laut Aussage der Ermittlungsbehörden soll es sich um einen Katzenliebhaber handeln;;;Digital.Unterhaltung;Auto.KI;;1;;;
322;18.11.2018;Harry Potter von Riesenspinne entführt. Polizei sucht nach Ziegen .. Zeugen;;;Unterhaltung;Polizei.Film;;1;;;
