id;date;title;subtitle;categories;tags;url
212;31.7.2019;Ein durchschnittlicher Mensch schaut 12 Jahre während seines Lebens fern;;;;
213;1.8.2019;An Deutschen Flughäfen werden jedes Jahr ca. 12.000 Rektaluntersuchungen durchgeführt. Meist auf Verdacht von Drogen, Waffen oder Sprengstoffschmuggel … oder auch zur Belustigung des Zoll-Personals oder aus Langeweile;;;;
214;2.8.2019;64% aller Liebesbekundungen von Paaren sind gelogen;;;;
215;3.8.2019;88% aller Computer-Spieler vergessen beim Computerspielen Raum und Zeit und glauben dass sie sich in einem Endlos-Raumzeit-Kontinuum befinden;;;;
216;4.8.2019;32% aller Single-Frauen glauben dass Hunde besser lecken können als Männer;;;;
217;5.8.2019;35% des Internet-Traffics basiert auf Pornography;;;;
218;6.8.2019;Männer werden vier mal häufiger vom Blitz getroffen als Frauen;Männer sind bei Blitzen beliebter;;;
219;7.8.2019;Der Weltrekord für einen geschlagenen Golfball liegt bei 610 Metern;;;;
220;8.8.2019;Das Römische Reich war im Jahr 117 nach Christus zur Zeit seiner größten Ausdehnung von der Fläche her in etwas so groß wie die heutige EU;;;;
221;9.8.2019;In China gibt es mehr Menschen die Englisch sprechen als in den USA;;;;
222;10.8.2019;89% aller Biertrinker glauben das Biertrinken schöner macht;;;;
223;11.8.2019;Nur 80% aller Frauen waschen sich die Hände wenn sie vom Klo kommen. Bei Männern sind es sogar nur 62%;;;;
224;12.8.2019;Pro Jahr werden in Berlin 70 Millionen Currywürste verputzt;;;;
225;13.8.2019;"In Großbritannien werden mehr Dosen gebackener Bohnen verzerrt als im Rest der Welt zusammen. Engländer sind also Bohnenfresser ;)";;;;
226;14.8.2019;51% aller männlichen Briten geben an sie hätten sexuelle Phantasien in denen David Beckham vorkommt;Die spinnen die Briten;;;
227;15.8.2019;Jeder Deutsche trinkt statistisch 105,9 Liter Bier pro Jahr. Na dann Prost!;;;;
228;16.8.2019;In den USA werden durchschnittlich 1700 Menschen pro Tag zum Millionär;;;;
229;17.8.2019;Die durchschnittliche Lebenserwartung des Menschen ist in den letzten 50 Jahren stärker gestiegen als in den 200.000 Jahren davor;;;;
230;18.8.2019;1/3 der Autofahrer benutzen keinen Sicherheitsgurt. 2/3 der Autofahrer beschleunigen wenn die Ampel auf Gelb springt und 3/3 der Autofahrer glauben besser Autofahren zu können als der Durchschnitt aller Autofahrer;;;;
231;19.8.2019;Ein durchschnittlicher Mensch läuft 120000KM in seinem Leben. Das entspricht ca. 3 Mal dem Erdumfang;;;;
232;20.8.2019;38% aller Todesfälle mit Selfies passieren in dem Menschen irgendwo herunterfallen;;;;
233;21.8.2019;Ein Deutscher trägt im Durchschnitt 103 Euro Bargeld im Portmonaie.;;;;
234;22.8.2019;Anfang des 18. Jahrhunderts mussten in Berlin unverheiratete Frauen im Alter zwischen 20-40 Jahren Jungfernsteuer bezahlen;;;;
235;23.8.2019;Deutsche Paare küssen im Durchschnitt 4 Mal am Tag;;;Partnerschaft;
236;24.8.2019;21% aller Herzinfarkten Männern passieren wenn sie ihre Ehefrauen plötzlich ungeschminkt sehen;;;Partnerschaft;
237;25.8.2019;Über 60% aller Frauen die morgens in den Spiegel schauen sehen in ihrer Vorstellung eine andere Person;;;;
238;26.8.2019;Männliche Mücken stechen am Liebsten zu wenn Alkohol im Blut ist;;;Alkohol;
239;27.8.2019;Pro Sekunde werden in Deutschland 7 Döner gegessen;;;Essen und Trinken;
240;28.8.2019;98% aller Pinguine sind behindert und müssen watscheln;;;Tiere;
241;29.8.2019;Man schätzt dass insgesamt über 108 Milliarden Menschen auf dem Erdball gelebt haben. Zur Zeit leben über 7 Milliarden Menschen auf der Erde. Das bedeutet ca. 93% aller Menschen haben vor uns auf der Erde gelebt;;;Menschheit;
242;30.8.2019;Pro Tag werden weltweit ca. 120 Millionen sexuelle Akte vollzogen;;;Sex;
243;31.8.2019;Etwa ein Drittel der Strafgefangen in Berlin sitzt angeblich wegen Schwarzfahrens ein;;;Justiz;
244;1.9.2019;Einer von 5 Millionen Männern wird mit 2 Penissen geboren. Man spricht dabei von Diphallie;;;;
245;2.9.2019;67% aller Männer im Alter von 30-60 lieben ihr Auto mehr als ihre Frau. 56% aller Frauen im selben Alter lieben ihre Schuhsammlung mehr als ihren Mann;;;;
246;3.9.2019;Laut einer Studie tendieren intelligente Menschen zur Unordnung und zum Fluchen.;;;;
247;4.9.2019;27 Prozent weiblicher Lottogewinner verstecken ihr Ticket in ihrem BH;;;;
248;5.9.2019;In Deutschen Gefängnissen herrsch mit einer Insassen-Auslastung von 85-über 90% quasi Vollbeschäftigung.;;;Justiz;
249;6.9.2019;Jeder Deutsche verbraucht im Leben 3651 Rollen Klopapier;;;;
250;7.9.2019;56% aller Menschen glauben dass der Mond nachts leuchtet. 36% wissen dass der Mond nicht selbst leuchtet sondern das Licht von der von der Sonne reflektiert. 3% glauben zu wissen dass Sonne, Mond und Sterne ferngesteuert werden um den Tagesablauf der Menschen zu steuern. (0.02% glauben sogar dass der Nachthimmel in Wirklichkeit ein Pastellgemälde von Van Gogh ist);;;;
251;8.9.2019;32% aller Amerikaner glauben dass es auf der Rückseite des Mondes Nazis gibt die von dort aus planen wie sie die Erde angreifen können;;;;
252;9.9.2019;Einige Australische Ureinwohner schütteln sich zur Begrüßung nicht die Hand sondern den Schwanz;;;;
253;10.9.2019;42% aller Männer sitzen mehr als 20 Minuten pro Tag auf dem Scheißhaus;;;;
254;11.9.2019;In Berliner Dönerladen werden pro Tag mehr als 60 Tonnen Dönerfleisch verputzt;;;;
255;12.9.2019;68% der Menschen laufen bei einer roten Ampel hinterher wenn jemand losläuft. 97% aller Menschen bleiden stehen sobald der Erste losgelaufene bei rot von einem Laster überrollt wird. Die anderen 3% schlafen beim Warten oder wissen nicht was sie tun.;;;;
256;13.9.2019;86% aller Männer sind mit ihrer Penisgröße zufrieden nachdem sie ihn aufgepumpt haben;;;;
257;14.9.2019;Männer die Staubsaugen haben im Schnitt 1,4 Mal öfter Sex;;;;
258;15.9.2019;Kelly Family bekommt tausendeinhundertdreiundzwanzigstes (1123) Familienmitglied;Familienzuwachs;Gesellschaft;Familie;
259;16.9.2019;20% der Erwachsenen benutzen ihr Smart Phone beim Sex;;;;
260;17.9.2019;Ein Durchschnittsmensch benutzt 57 Stück Toilettenpapier pro Tag;;;;
261;18.9.2019;Etwa 6 Millionen Blitze schlagen pro Tag auf die Erde auf;;;;
262;19.9.2019;Ein Mensch lacht im Durchschnitt 10 mal am Tag. Lachsegas-Besucher lachen mindestens doppelt so oft.;;;;
263;20.9.2019;43% aller Frauen würden ihrem sexistischem Chef gerne mal “so richtig fest in die Eier” treten;;;Sexismus;
264;21.9.2019;8 von 10 Türstehern glauben dass sie einen Faustkampf mit einem ausgewachsenen Grizzlybären gewinnen würden;;;;
265;22.9.2019;11% aller Amerikaner glauben dass die Markup-Sprache HTML eine Krankheit ist.;;;Technik;
266;23.9.2019;7 von 10 Profi-Fussballern haben während ihrer Karriere schonmal eine rote Karte bekommen;;;;
267;24.9.2019;Das Menschliche Gehirn besteht zu 75% aus Wasser. Die anderen 25% bestehen aus Stroh :);;;;
268;25.9.2019;12% aller Menschen können im Stehen einschlafen. Die Meisten davon leben in Indien;;;;
269;26.9.2019;Fahrradhelme haben eine 70 prozentige Sicherheitswarscheinlichkeit. Kondome haben 97% Sicherheit. Entscheide dich was bei deiner nächsten Fahrradtour tragen willst.;;;;
270;27.9.2019;Rund 2000 Unfälle werden jedes Jahr gemeldet die aufgrund sexueller Experimente zu Stande kommen;;;;
271;28.9.2019;12% aller Männer spielen regelmäßig Hosentaschenbilliard;;;;
272;29.9.2019;Ein durchchnittlicher menschlicher Körper besteht zu ca. 0,2mg aus Gold.;;;;
273;30.9.2019;92% aller Männer im Alter zwischen 40-70 wünschten sich in den 90ern an Stelle von Donald Trump ein Sex-Date mit Story Daniels gehabt zu haben;;;;
274;1.10.2019;Ein durchschnittlicher Mensch verbringt 12 Jahre seines Lebens mit Reden;;;;
275;2.10.2019;Bevor eine Frau den Mann für das Leben findet küsst sie im Durchschnitt 15 andere Männer um herauszufinden welcher Mann sich am besten für eine mögliche Fortpflanzung eignen würde;;;;
276;3.10.2019;Etwa alle 9 Tage kommen weltweit 2 Millionen Menschen mehr dazu;;;;
277;4.10.2019;Der Tao-Weltmeister Mo Ka Wang aus Hongkong konnte mit seinem Penis 120 Kg stemmen. Er gilt damit als der stärkste Penisbesitzer der Welt.;;;;
278;5.10.2019;Der Mount Everest wächst jedes Jahr um 1,27 cm;;;;
279;6.10.2019;24% aller Männer glauben dass es die Nymphomaninnen-Insel wirklich gibt und dass man als Mann dort im Paradies leben könnte;;;;
280;7.10.2019;Knapp 90.000 MPU werden jedes Jahr in Deutschland durchgeführt. Die meisten Medizinisch-Psychologischen-Untersuchungen werden aufgrund von Alkoholmissbrauch im Straßenverkehr verordnet;;;;
281;8.10.2019;48% aller Frauen haben schonmal Geld in ihrem BH versteckt. 24% der Männer schonmal in der Unterhose;;;;
282;9.10.2019;Man bräuchte ca. 1,2 Millionen Mücken um das gesamte Blut eines durchschnittlichen Menschen abzusaugen;;;;
283;10.10.2019;3 von 100 Herrentag-Feierwütigen haben einer Frau schonmal in den BH gekotzt;;;;
284;11.10.2019;17% der Menschen glauben dass Fusionsenergie etwas mit Paarung zu tun hat;;;;
285;12.10.2019;Ein Schluckauf dauert im Durchschnitt 5 Minuten und ist danach merkwürdiger weise meist plötzlich verschwunden. ;Springt über zum nächsten Opfer;;;
286;13.10.2019;84% aller Frauen geben an gerne als Hoteltesterinnen zu arbeiten;;;;
287;14.10.2019;Laut einer Studie glauben 7 von 10 Frauen dass die Beziehung mit ihrem Mann wie eine Freak-Show ist;;;;
288;15.10.2019;Die reichsten 8 Menschen auf der Welt haben mehr Geld als die ärmere Hälfte der gesamten Menschheit (ca. 3,6 Milliarden Menschen);Da stimmt doch was nicht;;;
289;16.10.2019;53% aller Todesfälle auf Dächern werden durch Herunterfallen von Dachkanten verursacht;Hände weg vom Roofing;;;
290;17.10.2019;Etwa jeder vierte Mann behauptet dass er auf Klo schonmal die unheimliche Begegnung der anderen Art hatte;;;;
291;18.10.2019;84% aller BH-tragenden Frauen tragen die falsche BH-Größe;;;;
292;19.10.2019;Weltweit gibt es über 4.2 Milliarden Internet-Nutzer. Das sind über 60% aller Menschen auf der Erde;;;;
293;20.10.2019;Die Hälfte aller Männer nehmen Lektüre mit auf das Klo wenn sie kacken gehen;;;;
294;21.10.2019;Statistisch gesehen leben die Menschen länger, die öfter Geburtstag haben als andere;;;;
295;22.10.2019;Ein durchschnittlicher Mensch verbringt ca. 5 Jahre seines Lebens mit Essen;;;;
296;23.10.2019;90% aller Verschwörungstheoretiker glauben, dass das Pentagon in den USA in Wirklichkeit ein getarntes Außerirdisches Forschungszentrum ist in dass die Stadt Washington von Außerirdischen besiedelt ist die phasenverschoben sind und deshalb mit dem bloßen Auge nicht erkannt werden können;;;;
297;24.10.2019;Eine durchschnittliche Frau verbraucht 2.7Kg Lippenstift im Leben;;;;
298;25.10.2019;Der Älteste Mensch der Welt hat alle anderen Menschen überlebt die geboren wurden als er geboren wurde. Anders gesagt: Alle Menschen die zur selben Zeit geboren wurde wie der älteste Mensch sind bereits verstorben.;;;;
299;26.10.2019;Usain Bolt ist in seiner Karriere so weit gelaufen, dass es bis zum Mond reichen würde.;;;;
300;27.10.2019;In Deutschland gibt es laut Statistik 91 Gefängnis-Insassen pro 100.000 Einwohner;;;;
301;28.10.2019;Der perfekte Kuss dauert laut einer Studie 12 Sekunden;;;;
302;29.10.2019;In Neu Seeland gibt es 17mal mehr Schafe als Menschen;;;;
303;30.10.2019;99% Aller Arbeitnehmer glauben dass der Freitag aufgrund seines Namens eigentlich zum Wochenende gehören müsste.;;;;
304;31.10.2019;Der Eisberg der die Titanic 1912 versenkt hatte wog 75Mio. Tonnen;;;;
305;1.11.2019;95% aller Babies lutschen lieber am rechten Daumen als am linken;Kurios;;;
306;2.11.2019;Kühe produzieren bei guter Musik bis zu 3% mehr Milch;;;;
307;3.11.2019;7 von 10 Pseudowissenschaftler glauben dass die Pyramiden in Ägypten jeweils ein Gegenstück auf einem anderen Planeten haben müssen welches verkehrt herum steht;;;;
308;4.11.2019;Im Durschnitt schlafen 34% Menschen mehr im Unterricht oder auf der Arbeit als in ihrem Bett;;;;
309;5.11.2019;Statistisch gesehen musste Frauen im Mittelalter die Kirche länger im Dorf lassen als heute, denn nervige Frauen konnten von ihren Ehemännern öffentlich gefoltert werden wenn sie zu vorlaut waren.;Zeiten sind Gott sei Dank vorbei;;;
310;6.11.2019;Jeder Siebte Mann begrüßt seine Toilette morgens mit “Guten Morgen” oder “Hallo wie gehts” bevor er mit seinem Ritual beginnt;;;;
311;7.11.2019;90% aller Menschen leben auf der Nordhalbkugel;;;;
312;8.11.2019;Dein Gehirn macht 2% deines Körpergewichts aus, verbraucht 20% deines Sauerstoffs und 15% des Blutes.;;;;
313;9.11.2019;22% aller Amerikaner geben laut einer Studie an Menschenfleisch ausprobieren zu wollen wenn es legal wäre;;;;
314;10.11.2019;63% der Männer die den Film Rambo gesehen haben schlafen seit dem mit einem Rambomesser unter dem Kopfkissen um im Notfall Eindringlinge abwehren zu können;;;;
315;11.11.2019;Jeden Tag werden über 4 Millionen BHs hergestellt;;;;
316;12.11.2019;17% aller Männer in Deutschland würden ihre Frau gegen einen High-Tech-Kühlschrank mit Bier-Automatik eintauschen;;;;
317;13.11.2019;6% der Männer haben Angst davor dass sie beim Masturbieren Rückenprobleme bekommen könnten. 2% glauben sogar dass beim Masturbieren die Gehirnzellen absterben. 94% haben jedoch kein Problem damit;;;;
318;14.11.2019;Männer werden statistisch gesehen 7 mal häufiger von Blitzen getroffen als Frauen;Männer aufgepasst;;;
319;15.11.2019;2 von 100 Single-Männer haben Angst davor dass sich beim Sex mit einer fremden Frau ihr Penis verknoten könnte;;;;
320;16.11.2019;Jeder Mensch furzt 8-15 Mal am Tag;;;;
321;17.11.2019;94% aller Rentner träumen davon im Alter von Helene Fischer die Windeln gewechselt zu bekommen… sie träumen bis heute;;;;
322;18.11.2019;Ein Rinderbandwurm im Darm einen Menschen kann über 10 Meter lang werden und und kann übertragen werden indem man befallenes rohes Rindfleisch isst;;;;
323;19.11.2019;Ein durchschnittlicher Mensch geht 6 Mal am Tag auf’s Klo;;;;
324;20.11.2019;Statistisch gesehen ist jeder vierte Schüler schon einmal beim Kippeln umgefallen, jeder zweite Student bei einer Vorlesung eingeschlafen und  jeder achte Arbeitnehmer aus einem Büro-Fenster gesprungen;;;;
325;21.11.2019;Smarte Menschen mit Augenproblemen lassen nachts ihre Kontaktlinsen drin um ihre Träume in HD sehen zu können;;;;
326;22.11.2019;68% aller Frauen glauben das Männer Schweine sind. Die anderen 32% glauben das Männer Idioten sind;;;;
327;23.11.2019;Pro Minute gibt es in Deutschen Büros im Durchschnitt 54 Liebes-Romanzen;;;;
328;24.11.2019;2 von 10 Menschen glauben wenn man zu viele rohe Kartoffeln isst können grüne Kartoffelpflanzen aus dem Kopf wachsen;;;;
329;25.11.2019;42,7% aller Internetnutzer schauen sich  pornografische Seiten an;;;;
330;26.11.2019;12% aller Rollator-Besitzer benutzen ihren Rollator um darauf Bierflaschen abzustellen während sie im Park rumlungern;;;;
331;27.11.2019;3 von 10 Männern bekommen Heimweh wenn sie im Bordell sind und es gerade anfängt spannend zu werden;;;;
332;28.11.2019;In Deutschland gibt genauso viele Hauskatzen wie Kinder (ca. 11Mio.);;;;
333;29.11.2019;In den USA werden jedes Jahr einige Dutzend Kinder geboren die durch den Arsch zur Welt kommen. Es handelt sich dabei um sogenannte Arschgeburten;;;;
334;30.11.2019;Die Beine von Dauerlügnern sind um ca. 12% kürzer als von Menschen die nicht lügen.;;;;
335;1.12.2019;In der Pariser Innenstadt gibt auf einer Länge von 100 Metern im Durchschnitt 27 Hundehaufen;;;;
336;2.12.2019;4/10 Mitarbeitern suchen auf der jährlichen Weihnachtsfeier ein erotisches Abenteuer;;;;
337;3.12.2019;37% aller Deutschen wollen ihre Weihnachtseinkäufe in der ersten Dezemberwoche erledigt haben. Die Meisten scheitern und haben bis zum 23.12. noch nicht alle Geschenke beisammen. Dann bleibt nur noch Geld zu verschenken;;;Weihnachten;
338;4.12.2019;87% aller Besucher auf lachvegas.de fangen nach spätestens 30 Sekunden an zu Lachen. Die anderen 13% sind entweder blind oder nicht bekloppt genug;;;;
339;5.12.2019;In Deutschland werden jedes Jahr 30 Millionen Weihnachtsbäume verkauft;;;Weihnachten;
340;6.12.2019;Knapp 99% aller Haushalte in Deutschland heißen den Nikolaus willkommen und füllen die Schuhe mit kleinen Überraschungen;;;Weihnachten;
341;7.12.2019;Die durchschnittliche Wasser-Temperatur von Warmduschern liegt bei 38°C;;;;
342;8.12.2019;ca. 150.000 Menschen der heutigen Bevölkerung in Europa stammen von einer vermeintlichen Hexe ab.;;;;
343;9.12.2019;Das häufigste Streitthema (31%) bei Paaren ist die Frage zu welchen Eltern man zu Weihnachten fahren soll;;;;
344;10.12.2019;Etwa die Hälfte aller Karpfen in Deutschland werden im Dezember verkauft;;;;
345;11.12.2019;In Deutschland gibt es schätzungsweise bis zu 3000 Weihnachtsmärkte;;;;
346;12.12.2019;Die meisten Männer brauchen morgens 20 Minuten zum Scheißen. Die meisten Frauen brauchen 20 Minuten zum Schminken;;Mann und Frau;;
347;13.12.2019;Frauen blinzeln täglich etwa doppelt so häufig wie Männer;;Mann und Frau;;
348;14.12.2019;Im Durchschnitt gibt jeder Deutsche 282 Euro für Weihnachtsgeschenke aus;;;Weihnachten;
349;15.12.2019;12% der Männer träumen davon einmal ins Bordell zu gehen und dort eine junge Frau aus dem Joch zu befreien;;Mann und Frau;Prostitution;
350;16.12.2019;42% aller Kinder glauben das der eigene Papa schonmal fremd gegangen ist indem er sich als Weihnachtsmann verkleidet hat und bei einem anderen Kind die Geschenke gebracht hat;;;Weihnachtsmann;
351;17.12.2019;Mosquitos bevorzugen Blondinen statt Brünette;;;;
352;18.12.2019;Knapp jeder zehnte Arbeitnehmer hat während einer Weihnachtsfeier oder kurz danach schon mal gekotzt entweder weil es zu viel Alkohol war, das Essen zu schlecht war oder weil er/sie den Chef zu Gesicht bekam;;;;
353;19.12.2019;Frauen schlagen Frauen statistisch gesehen fast doppelt so oft wie Männer;;;;
354;20.12.2019;12% aller Frauen wünschen sich zu Weihnachten etwas Selbstgemachtes;;;;
355;21.12.2019;Motten haben keine Bäuche. Weihnachtsmänner allerdings schon;;;;
356;22.12.2019;Der Deutsche Einzelhandel macht während der Weihnachtszeit jährlich einen Umsatz von fast 100 Milliarden Euro;;;;
357;23.12.2019;Die häufigsten Geschenke zu Weihnachten sind Geld und Gutscheine. Wenn du also keine Idee hast was du schenken sollst, dann verschenke einfach einen Gutschein für nächstes Jahr;;;;
358;24.12.2019;97% aller Frauen lassen sich zu Weihnachten von einem Weihnachtsmann beglücken;;;;
359;25.12.2019;9 von 10 Weihnachtsmännern haben einen dicken Bauch obwohl sie den ganzen schwere Geschenke schleppen müssen. 360 Tage im Jahr haben sie hingegen frei.;;;;
360;26.12.2019;60% aller Ehefrauen hatten schon einmal die Vorstellung ihren nervigen Ehemann am Weihnachtsbaum aufzuknüpfen;;;;
361;27.12.2019;Statistisch gesehen nimmt jeder Deutsche während der Weihnachtsfeiertage 500Gramm Gewicht zu. Wohlgemerkt in 2-3 Tagen;;;;
362;28.12.2019;Der Weihnachtsmann musste dieses Jahr bei über 24.000 verzogenen Kindern Ruten verteilen;;;;
363;29.12.2019;62% der Menschen nehmen sich für das neue Jahr vor “Stress zu vermeiden oder abzubauen”. Bei 80% der Leute klappt das nicht.;;;;
364;30.12.2019;Jedes Jahr können sich knapp 80.000 Menschen nicht mehr an die Neujahrsfeier erinnern weil zu stark alkoholisiert waren;;;Alkohol;
365;31.12.2019;68% nehmen sich für das neue Jahr etwas vor was sie in ihrem Leben besser machen wollen. 80% schaffen es nicht diese Vorsätze für das neue Jahr zu erfüllen;Falsche Vorstellungen oder Selbstbetrug?;;;
